iter	R2	RMSE
342	0.9907050099	4563.504358
343	0.9907066455	4563.10283
344	0.990707971	4562.777399
345	0.9907085965	4562.623831
346	0.9907095557	4562.388298
347	0.9907119755	4561.7941
348	0.9907186318	4560.159209
349	0.9907221615	4559.292013
350	0.9907251824	4558.549683
351	0.9907277985	4557.906741
352	0.990730288	4557.294812
353	0.9907322257	4556.818466
354	0.9907358017	4555.939255
355	0.9907406419	4554.748938
356	0.990743845	4553.961059
357	0.9907468905	4553.211831
358	0.9907476881	4553.015587
359	0.9907494252	4552.588153
360	0.9907498306	4552.488378
361	0.9907521576	4551.915727
362	0.9907533328	4551.626506
363	0.9907587985	4550.281059
364	0.9907610142	4549.735543
365	0.9907636121	4549.095834
366	0.9907642337	4548.942763
367	0.9907656116	4548.603401
368	0.9907674083	4548.160876
369	0.9907686838	4547.846707
370	0.9907694497	4547.658041
371	0.9907711588	4547.237008
372	0.990774589	4546.39187
373	0.9907751719	4546.248229
374	0.9907787612	4545.3637
375	0.9907825138	4544.438723
376	0.9907863152	4543.501548
377	0.9907883634	4542.996498
378	0.9907889065	4542.862583
379	0.9907936461	4541.693639
380	0.9907953086	4541.283561
381	0.9907986658	4540.455312
382	0.990798918	4540.39309
383	0.9908018417	4539.671665
384	0.9908038564	4539.174475
385	0.9908048766	4538.922686
386	0.9908056611	4538.729058
387	0.9908081689	4538.110043
388	0.9908096658	4537.740509
389	0.9908134098	4536.816092
390	0.9908198504	4535.225473
391	0.9908213631	4534.851806
392	0.9908285203	4533.083381
393	0.9908302203	4532.663257
394	0.990832114	4532.195187
395	0.9908345146	4531.601771
396	0.9908374505	4530.875947
397	0.9908426943	4529.579221
398	0.9908456073	4528.85873
399	0.9908470613	4528.499051
400	0.9908480354	4528.25807
401	0.9908551074	4526.508158
402	0.9908555494	4526.398781
403	0.99086098	4525.054542
404	0.9908639228	4524.325926
405	0.9908642018	4524.256846
406	0.9908681416	4523.28121
407	0.9908705909	4522.674561
408	0.9908722589	4522.261389
409	0.9908725999	4522.17691
410	0.9908729799	4522.082776
411	0.9908733964	4521.979581
412	0.9908776183	4520.933544
413	0.9908792037	4520.540691
414	0.9908796039	4520.441505
415	0.9908808444	4520.134071
416	0.9908814677	4519.979607
417	0.990885492	4518.982087
418	0.9908876477	4518.447642
419	0.9908911304	4517.584107
420	0.9908932463	4517.059377
421	0.9908946515	4516.710875
422	0.990897855	4515.916234
423	0.9909027876	4514.692464
424	0.9909067071	4513.71978
425	0.9909095326	4513.01847
426	0.9909114327	4512.546782
427	0.9909127927	4512.20915
428	0.9909190359	4510.658862
429	0.9909213371	4510.087307
430	0.9909224042	4509.822253
431	0.9909231506	4509.63683
432	0.9909256376	4509.018976
433	0.9909271333	4508.647364
434	0.9909292889	4508.111721
435	0.9909322364	4507.379223
436	0.9909330237	4507.183549
437	0.9909343504	4506.853781
438	0.9909377986	4505.996597
439	0.9909405603	4505.309948
440	0.9909449738	4504.212366
441	0.9909454695	4504.089076
442	0.9909473104	4503.631182
443	0.9909498848	4502.99077
444	0.9909525675	4502.323318
445	0.990957823	4501.015461
446	0.9909589893	4500.725191
447	0.9909629285	4499.744579
448	0.9909639065	4499.501085
449	0.990964624	4499.322454
450	0.9909677428	4498.545855
451	0.990968465	4498.365998
452	0.9909694254	4498.126819
453	0.9909707228	4497.803684
454	0.9909729508	4497.248747
455	0.9909730632	4497.220739
456	0.990978992	4495.743624
457	0.9909796146	4495.588478
458	0.9909826943	4494.820994
459	0.9909853816	4494.151168
460	0.9909896953	4493.075763
461	0.9909916774	4492.581556
462	0.9909951152	4491.724222
463	0.9909977859	4491.058087
464	0.990998449	4490.892677
465	0.9910023444	4489.920867
466	0.9910070178	4488.754673
467	0.9910080046	4488.508384
468	0.9910095967	4488.11101
469	0.9910106881	4487.838593
470	0.9910132398	4487.201587
471	0.9910141002	4486.986768
472	0.991016955	4486.273955
473	0.9910236516	4484.601463
474	0.9910271807	4483.719809
475	0.9910273843	4483.668939
476	0.9910297558	4483.076376
477	0.9910310359	4482.756482
478	0.9910325114	4482.387719
479	0.9910351397	4481.730814
480	0.9910357254	4481.584388
481	0.9910429838	4479.769667
482	0.9910482197	4478.460128
483	0.9910487664	4478.323368
484	0.9910500764	4477.995645
485	0.9910508149	4477.810892
486	0.9910520512	4477.501593
487	0.9910561605	4476.473334
488	0.9910603788	4475.417566
489	0.9910652331	4474.202301
490	0.9910690636	4473.243118
491	0.9910724946	4472.383777
492	0.9910748039	4471.805302
493	0.991077585	4471.108558
494	0.991078408	4470.902345
495	0.9910794461	4470.642218
496	0.991081613	4470.099204
497	0.9910826816	4469.831382
498	0.9910831308	4469.718798
499	0.9910859392	4469.014858
500	0.9910878779	4468.528868
501	0.9910928606	4467.279528
502	0.9910959194	4466.512415
503	0.9910985175	4465.860726
504	0.9910988435	4465.778938
505	0.9911027622	4464.79583
506	0.9911085372	4463.346596
507	0.9911117577	4462.538201
508	0.9911123929	4462.378742
509	0.9911137977	4462.026065
510	0.9911140044	4461.974166
511	0.991115942	4461.487664
512	0.9911182924	4460.897455
513	0.9911202819	4460.397808
514	0.9911243523	4459.375373
515	0.9911263939	4458.862457
516	0.9911301352	4457.922406
517	0.9911323065	4457.376732
518	0.9911336045	4457.050481
519	0.9911383375	4455.860717
520	0.9911409876	4455.194399
521	0.9911410667	4455.174499
522	0.9911422564	4454.875351
523	0.9911440591	4454.421991
524	0.9911468162	4453.72855
525	0.9911475196	4453.551625
526	0.9911487304	4453.247043
527	0.991152223	4452.368348
528	0.9911552814	4451.598784
529	0.9911568822	4451.195895
530	0.9911579316	4450.931801
531	0.9911584345	4450.805215
532	0.9911603904	4450.312899
533	0.9911615542	4450.019915
534	0.9911630196	4449.651016
535	0.991167988	4448.399957
536	0.9911723395	4447.303977
537	0.9911727433	4447.202272
538	0.99117493	4446.651405
539	0.9911758731	4446.413801
540	0.9911768234	4446.174362
541	0.9911775102	4446.001299
542	0.991178376	4445.783137
543	0.9911789682	4445.633927
544	0.9911806606	4445.207429
545	0.9911817836	4444.924401
546	0.9911830143	4444.614228
547	0.9911843508	4444.277349
548	0.9911886921	4443.182917
549	0.9911892	4443.054858
550	0.991192494	4442.224228
551	0.9911956384	4441.43119
552	0.9911992054	4440.531403
553	0.9912019742	4439.832854
554	0.9912026561	4439.660771
555	0.9912035786	4439.42799
556	0.9912047688	4439.12765
557	0.991209267	4437.992336
558	0.9912111731	4437.51118
559	0.9912146268	4436.639186
560	0.9912175496	4435.901119
